Watershed,Hname,Hectares,Acres,Date,Type,Year
"N1A ","N1A ",33.83,83.596,2020-04-07,PP,2020
N1B,N1B,120.683,298.214,2020-04-07,PP,2020
K2A,K2A,66.1,163.336,2020-04-10,PP,2020
K1B/K4B,K1B,181.665,448.905,2020-04-10,PP,2020
1D,1D,41.55,102.67,2020-04-15,PP,2020
HQE,HQE,8.094,20,2020-04-15,PP,2020
R1B,20D/4H,39.797,98.34,2020-04-21,PP,2020
SPB,4D/WB,35.74,88.31,2020-04-21,PP,2020
SPA,4C/10A,33.402,82.539,2020-04-21,PP,2020
2B,2B/10B,14.4,35.59,2020-04-21,PP,2020
1B,1B/WA,35.89,88.69,2020-04-21,PP,2020
2A,2A,28.3,69.94,2020-04-21,PP,2020
"Nature Trail - North Hill","Nature Trail",33.076,81.732,2020-04-21,PP,2020
SuA,10C/3U3BC,22.86,56.488,2020-08-04,PP,2020
SuB,SuB,15.63,38.62,2020-08-04,PP,2020
ALC,AL,22,54.36,2020-08-04,PP,2020
ALD,"Brome field S of K1",19.54,48.29,2020-08-04,PP,2020
ALE,"Brome field N of K4A",35.38,87.42,2020-08-04,PP,2020
R1B,20D/4H,39.797,98.34,2020-11-03,WP,2020
20C,20C/3B3UD,4.86,12,2020-11-03,WU,2020
FA,FA,11.089,27.401,2020-11-04,PP,2020
FB,FB,10.631,26.27,2020-11-04,PP,2020
WA,WA,11.62,28.72,2021-02-26,PP,2021
WB,WB,12.33,30.46,2021-02-26,PP,2021
K1A,K1A,113.89,281.428,2021-03-01,PP,2021
C1SB,"Texas Hog Pasture",76.36,188.69,2021-03-01,PP,2021
K20A,K20A,83.13,205.418,2021-03-04,PP,2021
C3SC,SC,127.02,313.873,2021-03-04,PP,2021
C1A,C1A,93.78,231.73,2021-03-05,PP,2021
C3C,C3C,102.423,253.093,2021-03-05,PP,2021
"White Pasture","White Pasture",124.93,308.69,2021-03-05,PP,2021
HQA,HQA,12.28,30.344,2021-04-01,PP,2021
HQB,HQB,14.92,36.868,2021-04-01,PP,2021
HQC,HQC,17.483,43.201,2021-04-01,PP,2021
R1A,20A/3B3UA,48.66,120.241,2021-04-01,PP,2021
R20A,1A,26.332,65.068,2021-04-03,WU,2021
2A,2A,28.3,69.94,2021-04-03,WU,2021
4A,4A,18.84,46.56,2021-04-03,WU,2021
4B,4B,54.5,134.67,2021-04-03,WP,2021
1B,1B/WA,35.89,88.69,2021-04-03,WP,2021
K1B/K4B,K1B/K4B,181.26,447.9,2021-04-09,PP,2021
N1A,N1A,60.03,148.322,2021-04-12,PP,2021
N1A,N1A,33.83,83.596,2021-04-12,PP,2021
K4A,K4A,53.16,131.361,2021-04-12,PP,2021
N20B,N20B,84.364,208.467,2021-04-12,PP,2021
N20A,N20A,82.98,205.048,2021-04-12,PP,2021
N2B,N2B,118.78,293.511,2021-04-12,PP,2021
N4D,N4D,135.45,334.704,2021-04-12,PP,2021
N1B,N1B,120.683,298.214,2021-04-12,PP,2021
SpA,4C,8.82,21.795,2021-04-22,PP,2021
SpB,4D/WB,35.74,88.31,2021-04-22,PP,2021
2C,2C,22.95,56.72,2021-04-22,PP,2021
1D,1D,41.55,102.67,2021-04-22,PP,2021
2D,2D,48.41,119.62,2021-04-22,PP,2021
R20B,1C,12.315,30.431,2021-04-30,PP,2021
FA,FA,11.089,27.401,2021-11-08,PP,2021
FB,FB,10.631,26.27,2021-11-09,PP,2021
WA,WA,11.62,28.72,2022-02-19,PP,2022
WB,WB,12.33,30.46,2022-02-19,PP,2022
N2A,N2A,101.215,250.107,2022-03-01,PP,2022
N4C,N4C,77.842,192.351,2022-03-01,PP,2022
HQD,HQD,28.25,69.807,2022-03-01,PP,2022
N20A,N20A,82.98,205.048,2022-03-02,PP,2022
N1A,N1A,33.83,83.596,2022-03-02,PP,2022
N1A,N1A,60.03,148.322,2022-03-02,PP,2022
"Nature Trail","Nature Trail",72.84,180,2022-03-15,PP,2022
C1A,C1A,93.78,231.73,2022-03-26,PP,2022
C3A,C3A,48.728,120.41,2022-03-26,PP,2022
C3SB,SB,226.265,559.112,2022-03-26,PP,2022
N1B,N1B,120.683,298.214,2022-03-28,PP,2022
C1SB,"Texas Hog Pasture",76.36,188.69,2022-04-04,PP,2022
"Nature Trail - North Hill","Nature Trail",33.076,81.732,2022-04-04,PP,2022
ALD,"Brome field S of K1",19.54,48.29,2022-04-04,PP,2022
ALE,"Brome field N of K4A",35.38,87.42,2022-04-04,PP,2022
K1A,K1A,113.89,281.428,2022-04-11,PP,2022
K20A,K20A,83.13,205.418,2022-04-11,PP,2022
R1B,20D/4H,39.797,98.34,2022-04-11,PP,2022
1D,1D,41.55,102.67,2022-04-11,PP,2022
N20B,N20B,84.364,208.467,2022-04-11,PP,2022
K1B,K1B,105.138,259.801,2022-04-11,PP,2022
K2A,K2A,66.1,163.336,2022-04-15,PP,2022
HQA,HQA,12.28,30.344,2022-04-15,PP,2022
HQB,HQB,14.92,36.868,2022-04-15,PP,2022
HQC,HQC,17.483,43.201,2022-04-15,PP,2022
R1A,20A/3B3UA,48.66,120.241,2022-04-21,PP,2022
4A,4A,18.84,46.56,2022-04-21,PP,2022
2A,2A,28.3,69.94,2022-04-26,PP,2022
1B,1B/WA,35.89,88.69,2022-04-26,PP,2022
SPA,4C/10A,33.402,82.539,2022-04-26,PP,2022
SPB,4D/WB,35.74,88.31,2022-04-26,PP,2022
2B,2B/10B,14.4,35.59,2022-04-26,PP,2022
SuA,10C/3U3BC,22.86,56.488,2022-08-01,PP,2022
SuB,SuB,15.63,38.62,2022-08-01,PP,2022
FA,FA,11.089,27.401,2022-11-21,PP,2022
FB,FB,10.631,26.27,2022-11-21,PP,2022
WA,WA,11.62,28.72,2023-02-08,PP,2023
WB,WB,12.33,30.46,2023-02-08,PP,2023
C1SB,"Texas Hog Pasture",76.36,188.69,2023-03-01,PP,2023
C3SA,SA,102.076,252.235,2023-03-01,PP,2023
K1A,K1A,113.89,281.428,2023-03-06,PP,2023
2D,2D,48.41,119.62,2023-03-10,PP,2023
C1A,C1A,93.78,231.73,2023-03-10,PP,2023
C3B,C3B,66.59,164.547,2023-03-10,PP,2023
R1B,20D/4H,39.797,98.34,2023-03-10,PP,2023
HQA,HQA,12.28,30.344,2023-03-22,PP,2023
"White Pasture","White Pasture",124.93,308.69,2023-03-23,PP,2023
N1A,N1A,33.83,83.596,2023-03-27,PP,2023
N1A,N1A,60.03,148.322,2023-03-27,PP,2023
N20A,N20A,82.98,205.048,2023-03-27,PP,2023
N20B,N20B,84.364,208.467,2023-03-27,PP,2023
N2B,N2B,118.78,293.511,2023-03-27,PP,2023
N4B,N4B,56.775,140.293,2023-03-27,PP,2023
K1B,K1B/K4B,181.26,447.9,2023-04-06,PP,2023
K20A,K20A,83.13,205.418,2023-04-06,PP,2023
WN2A,.,8.9,22,2023-04-07,PP,2023
WN4A,.,5.3,13,2023-04-07,PP,2023
HQB,HQB,14.92,36.868,2023-04-10,PP,2023
1D,1D,41.55,102.67,2023-04-17,PP,2023
HQC,HQC,17.483,43.201,2023-04-17,PP,2023
HQE,HQE,8.094,20,2023-04-17,PP,2023
N1B,N1B,120.683,298.214,2023-04-17,PP,2023
1B,1B/WA,35.89,88.69,2023-04-25,PP,2023
2C,2C,22.95,56.72,2023-04-25,PP,2023
4F,4F,16.37,40.44,2023-04-25,PP,2023
R1A,20A/3B3UA,48.66,120.241,2023-04-25,PP,2023
SPA,4C/10A,33.402,82.539,2023-04-25,PP,2023
SPB,4D/WB,35.74,88.31,2023-04-25,PP,2023
ALE,"Brome field N of K4A",35.38,87.42,2023-04-27,PP,2023
N4C,N4C,.,.,2023-09-25,PP,2023
FA,FA,11.089,27.401,2023-11-07,PP,2023
FB,FB,10.631,26.27,2023-11-07,PP,2023
